city,country,id,latitude,longitude,state
Bargteheide-Land,Deutschland,2125801.0,53.713895,10.322013,Schleswig-Holstein
Reutlingen,Deutschland,67588.0,48.47904,9.18795,Baden-Württemberg
Würzburg,Deutschland,1450467.0,49.800738,9.954184,Bayern
Schlüchtern,Deutschland,1876938.0,50.347471,9.523278,Hessen
Esslingen am Neckar,Deutschland,2234706.0,48.734625,9.298532,Baden-Württemberg
Kirkel,Deutschland,2049670.0,49.302532,7.267292,Saarland
Pforzheim,Deutschland,704443.0,48.857006,8.663613,Baden-Württemberg
Berlin,Deutschland,2236413.0,52.433918,13.217807,Berlin
Tettenweis,Deutschland,495406.0,48.441113,13.271173,Bayern
Oderaue,Deutschland,1107531.0,52.77328,14.05639,Brandenburg
Ratingen,Deutschland,89546.0,51.29371,6.86661,Nordrhein-Westfalen
Gemarkung Remscheid,Deutschland,1140858.0,51.193551,7.154909,Nordrhein-Westfalen
Stuttgart,Deutschland,1591116.0,48.817191,9.159679,Baden-Württemberg
Tirschenreuth,Deutschland,2484473.0,49.876707,12.33326,Bayern
Bottrop,Deutschland,506988.0,51.541477,6.933083,Nordrhein-Westfalen
Cölbe,Deutschland,2120984.0,50.857679,8.823705,Hessen
Grassau,Deutschland,616318.0,47.777422,12.44563,Bayern
Mannheim,Deutschland,1558356.0,49.458041,8.503102,Baden-Württemberg
Königstein (VGem),Deutschland,1611993.0,49.581106,11.615652,Bayern
Stuttgart,Deutschland,816056.0,48.725556,9.122229,Baden-Württemberg
Uffenheim (VGem),Deutschland,1980832.0,49.53112,10.12419,Bayern
Vechta,Deutschland,596021.0,52.730958,8.290944,Niedersachsen
Heiligenhafen,Deutschland,1586123.0,54.365518,11.006881,Schleswig-Holstein
Berlin,Deutschland,319616.0,52.485822,13.337844,Berlin
Sulzbach-Rosenberg,Deutschland,230578.0,49.491746,11.796951,Bayern
,Deutschland,2422756.0,51.80512,12.23718,Sachsen-Anhalt
Essen,Deutschland,1630963.0,51.49159,7.0025,Nordrhein-Westfalen
Lehrte,Deutschland,76868.0,52.38318,9.975677,Niedersachsen
Reutlingen,Deutschland,1943092.0,48.496328,9.191667,Baden-Württemberg
Neustadt an der Donau,Deutschland,2016324.0,48.7713,11.7223,Bayern
Hochheim,Deutschland,362284.0,50.013547,8.345563,Hessen
Stuttgart,Deutschland,2263263.0,48.722209,9.162266,Baden-Württemberg
Verwaltungsgemeinschaft Künzelsau,Deutschland,423924.0,49.258027,9.677885,Baden-Württemberg
Berlin,Deutschland,2134755.0,52.510047,13.377568,Berlin
Hoyerswerda - Wojerecy,Deutschland,2088143.0,51.439176,14.262292,Sachsen
Kabelsketal,Deutschland,4496.0,51.44337,12.13524,Sachsen-Anhalt
Wipperfürth,Deutschland,1232042.0,51.118075,7.399243,Nordrhein-Westfalen
Berlin,Deutschland,1564295.0,52.520102,13.437725,Berlin
Hamburg,Deutschland,2399900.0,53.550523,10.04182,Hamburg
Bogen,Deutschland,2051681.0,48.930648,12.662981,Bayern
Haar,Deutschland,614902.0,48.11012,11.72778,Bayern
Cuxhaven,Deutschland,1509824.0,53.866367,8.677472,Niedersachsen
Leipzig,Deutschland,1547176.0,51.346071,12.357301,Sachsen
Verwaltungsgemeinschaft Lauffen am Neckar,Deutschland,2128878.0,49.050983,9.192774,Baden-Württemberg
Berlin,Deutschland,1557883.0,52.529276,13.377542,Berlin
Neustadt an der Aisch,Deutschland,1876976.0,49.5813,10.6373,Bayern
Iserlohn,Deutschland,1467694.0,51.371696,7.67705,Nordrhein-Westfalen
Berlin,Deutschland,2377947.0,52.49458,13.409893,Berlin
Dippoldiswalde,Deutschland,1651047.0,50.8975,13.6942,Sachsen
Abensberg,Deutschland,1188588.0,48.807928,11.877433,Bayern
Kornwestheim,Deutschland,1368645.0,48.85748,9.18268,Baden-Württemberg
Hamburg,Deutschland,1729824.0,53.582379,10.108181,Hamburg
Sindelfingen,Deutschland,600867.0,48.705412,8.991047,Baden-Württemberg
Oed,Deutschland,1771610.0,49.025128,13.003579,Bayern
Prag,Deutschland,1887069.0,48.705739,13.482859,Bayern
Gelenau/Erzgebirge,Deutschland,866478.0,50.713334,12.987672,Sachsen
Oberhausen,Deutschland,1504988.0,51.54475,6.85625,Nordrhein-Westfalen
Ulm,Deutschland,1108157.0,48.389553,9.948249,Baden-Württemberg
Norden,Deutschland,2483234.0,53.581752,7.223802,Niedersachsen
Berlin,Deutschland,2043213.0,52.508619,13.423747,Berlin
Dresden,Deutschland,834793.0,51.060039,13.700804,Sachsen
Aue-Bad Schlema,Deutschland,964.0,50.592793,12.706763,Sachsen
Dannstadt-Schauernheim,Deutschland,2137933.0,49.410164,8.34166,Rheinland-Pfalz
Salzgitter,Deutschland,695392.0,52.187499,10.451173,Niedersachsen
Landsberg,Deutschland,121318.0,51.516735,12.062187,Sachsen-Anhalt
Rodgau,Deutschland,1572379.0,50.035277,8.887405,Hessen
